,accuracy_score,average_precision_score,f1_score,fn,fp,name,roc_auc_score,tn,tp
0,0.8215663781416206,0.24916616876018846,0.3775918515823936,161,1550,DecisionTreeRegressor-criterionpoissonmax_depthNonemin_samples_split2splitterbest--tfidf,0.8342723485173619,7359,519
0,0.8263635415580353,0.2537085833458055,0.37803511393350764,174,1491,DecisionTreeRegressor-criterionpoissonmax_depthNonemin_samples_split5splitterbest--tfidf,0.8367796445101781,7418,506
0,0.32724997392845967,0.18734763727805567,0.17156799794529343,12,6439,DecisionTreeRegressor-criterionpoissonmax_depth10min_samples_split2splitterbest--tfidf,0.7013594976659425,2470,668
0,0.3261028261549692,0.1859808178040827,0.17090069284064666,14,6448,DecisionTreeRegressor-criterionpoissonmax_depth10min_samples_split5splitterbest--tfidf,0.6999945527655445,2461,666
0,0.9023881530920846,0.24272561516852104,0.390625,380,556,DecisionTreeRegressor-criterionpoissonmax_depth20min_samples_split2splitterbest--tfidf,0.7688713660343472,8353,300
0,0.9151110647617061,0.24614996537180747,0.41014492753623194,397,417,DecisionTreeRegressor-criterionpoissonmax_depth20min_samples_split5splitterbest--tfidf,0.7708723993582166,8492,283
0,0.9054124517676504,0.2627143280019369,0.42339478703115063,347,560,DecisionTreeRegressor-criterionpoissonmax_depth30min_samples_split2splitterbest--tfidf,0.7910293127240795,8349,333
0,0.9112524767963291,0.2745594541762635,0.4397630019749835,346,505,DecisionTreeRegressor-criterionpoissonmax_depth30min_samples_split5splitterbest--tfidf,0.7963906294361947,8404,334
0,0.893210970904161,0.2590964872356941,0.42665173572228443,299,725,DecisionTreeRegressor-criterionpoissonmax_depth40min_samples_split2splitterbest--tfidf,0.8040601704819318,8184,381
0,0.8922723954531234,0.2612411816378512,0.4232272473478504,301,732,DecisionTreeRegressor-criterionpoissonmax_depth40min_samples_split5splitterbest--tfidf,0.8043813922470999,8177,379
0,0.8825737824590677,0.2501796127611894,0.4201853759011329,272,854,DecisionTreeRegressor-criterionpoissonmax_depth50min_samples_split2splitterbest--tfidf,0.8082268921711686,8055,408
0,0.8802794869120868,0.2545575786502072,0.4190283400809716,266,882,DecisionTreeRegressor-criterionpoissonmax_depth50min_samples_split5splitterbest--tfidf,0.8125791499673166,8027,414
0,0.8108249035353009,0.45298491380598843,0.38550135501355015,111,1703,LogisticRegression-class_weightNonen_jobs-1penaltynonesolvernewton-cholesky--tfidf,0.9001195090226011,7206,569
0,0.866200855146522,0.6301510966569168,0.4691766652875466,113,1170,LogisticRegression-class_weightNonen_jobs-1penaltyl2solvernewton-cholesky--tfidf,0.9317334420579321,7739,567
